Lovin' You|Minnie Riperton
I Live My Life For You|Firehouse
If It Feels Good  Do It|Ian Lloyd & Stories
A Fine Fine Day|Tony Carey
Can't Stop This Thing We Started|Bryan Adams
Action|Sweet
Don't Cha Love It|The Miracles
Amazing|Aerosmith
What If|Reba McEntire
Touch A Four Leaf Clover|Atlantic Starr
It's Your Love|She Moves
Into The Great Wide Open|Tom Petty And The Heartbreakers
Love's Taken Over|Chante Moore
Everybody Dance|Chic
I Can't Let Go|Linda Ronstadt
Ain't Gonna Lie|Keith
If A Woman Answers (Hang Up The Phone)|Leroy Van Dyke
Sacred Emotion|Donny Osmond
A Million Miles Away|The Plimsouls
Stand Beside Me|Jo Dee Messina
Video|Jeff Lynne
You're Movin' Out Today|Bette Midler
Having A Party Medley|The Ovations (Featuring Louis Williams)
Leather And Lace|Stevie Nicks With Don Henley
Laughter In The Rain|Neil Sedaka
Misled|Kool & The Gang
Groove Is In The Heart|Deee-Lite
All Cried Out|Dusty Springfield
Hold On|Triumph
Everything Is Everything|Lauryn Hill
Lead Me On|Maxine Nightingale
More Than A Feeling|Boston
Holding Back The Years|Simply Red
Stand By Your Man|Tammy Wynette
Step On|Happy Mondays
Allentown|Billy Joel
Real Love|Mary J. Blige
It Must Have Been Love (From Pretty Woman)|Roxette
Believe|Cher
Am I That Easy To Forget|Engelbert Humperdinck
All Day Music|War
Turned Away|Chuckii Booker
Innocent Child|Colourhaus
Girl With The Hungry Eyes|Jefferson Starship
So Alone|Men At Large
Sign Of The Times|The Belle Stars
Dance Naked|John Mellencamp
Save The Last Dance For Me|The Drifters
The Grass Is Greener|Brenda Lee
A Fool Never Learns|Andy Williams
I Won't Last A Day Without You|Carpenters
Blue Bayou|Roy Orbison
Tiny Bubbles|Don Ho and the Aliis
Every Morning|Sugar Ray
Western Movies|The Olympics
American Heartbeat|Survivor
Good|Better Than Ezra
Laughing Boy|Mary Wells
Coney Island Baby|The Excellents
Conquistador|Procol Harum
Don't Ever Be Lonely (A Poor Little Fool Like Me)|Cornelius Brothers & Sister Rose
Don't Be Cruel|Cheap Trick
All About My Girl|Jimmy McGriff
People Gotta Move|Gino Vannelli
Poison|Bell Biv DeVoe
Don't Think Twice|The Wonder Who?
You Wanted Someone To Play With (I Wanted Someone To Love)|Frankie Laine
Ricky|Weird Al Yankovic
Foolin' Around|Changing Faces
It's Just The Sun|Don McLean
Breaking Up Somebody's Home|Albert King
Medley|Stars On 45
Handbags And Gladrags|Chase
I Can't Grow Peaches On A Cherry Tree|Just Us
Can You Stand The Rain|New Edition
Save All Your Lovin' For Me|Brenda Lee
If You Could Read My Mind|Stars On 54: Ultra Nate  Amber  Jocelyn Enriquez
She Blinded Me With Science|Thomas Dolby
Fingertips - Pt 2|Little Stevie Wonder
Natural Love|Petula Clark
Heart To Heart|Errol Sober
I Do (Cherish You)|98 Degrees
Wrong Night|Reba
Ame Caline (Soul Coaxing)|Raymond Lefevre and His Orchestra
Urgent|Foreigner
Shakin' All Over|The Guess Who
Symphony Of Destruction|Megadeth
Should I Do It|The Pointer Sisters
Cat's In The Cradle|Ugly Kid Joe
Caterina|Perry Como
Meet Me Half Way|Kenny Loggins
Dear Heart|Jack Jones
Are You Never Coming Home|Sandy Posey
Look Through Any Window|The Hollies
Dial My Heart|The Boys
I'm The One You Need|Jody Watley
Why Can't This Be Love|Van Halen
Escape-ism (Part 1)|James Brown
Turn On Your Love Light|Jerry Lee Lewis
Ready Or Not|Lou Gramm
Better Love Next Time|Dr. Hook
Brother Love's Travelling Salvation Show|Neil Diamond
Man Size Love (From Running Scared)|Klymaxx
Bed Of Rose's|The Statler Brothers
Invisible Man|98 Degrees
Ring My Bell|Anita Ward
Busy Man|Billy Ray Cyrus
Yes  I'm Ready|Teri DeSario With K.C.
Tonight I'll Say A Prayer|Eydie Gorme
Let's Get Together|We Five
Workin' For A Livin'|Huey Lewis & The News
Abracadabra|The Steve Miller Band
The Impossible Dream|The Hesitations
Absolutely Right|Five Man Electrical Band
Harlem Shuffle|Bob And Earl
Heroes And Villains|The Beach Boys
If You Love Me|Mint Condition
Love Theme From Eyes Of Laura Mars (Prisoner)|Barbra Streisand
I'm Leaving It Up To You|Dale & Grace
Shy Boys|Ana
I Love You Came Too Late|Joey McIntyre
Cowboy Take Me Away|Dixie Chicks
The Blue Side|Crystal Gayle
Nice & Slow|Usher
The Witch|The Rattles
Zorba The Greek|Herb Alpert & The Tijuana Brass
Sacred|The Castells
Hold On My Heart|Genesis
He's So Shy|The Pointer Sisters
Praying To A New God|Wang Chung
I Want Candy|The Strangeloves
Slip Away|Ian Lloyd
Too Beautiful To Last|Engelbert Humperdinck
The Chokin' Kind|Joe Simon
The Wanderer|Dion
Remember The Time|Michael Jackson
Legend Of A Cowgirl|Imani Coppola
Crumblin' Down|John Cougar Mellencamp
Rock Me On The Water|Jackson Browne
Rock 'n' Roll Fantasy|Bad Company
Fields Of Fire|Big Country
Breaking Up Is Hard To Do|The Partridge Family Starring Shirley Jones Featuring David Cassidy
I'm Not Lisa|Jessi Colter
Until Your Love Comes Back Around|RTZ
Autobahn|Kraftwerk
My Own Way To Rock|Burton Cummings
Mister Magic|Grover Washington  Jr.
(Now You See Me) Now You Don't|Lee Ann Womack
Tear Drop City|The Monkees
Two Little Kids|Peaches & Herb
My Love|Julio Iglesias Featuring Stevie Wonder
Day After Day|Badfinger
The Three Bells|The Browns
Paper|Queen Latifah Featuring Apache
(I'm A) Road Runner|Jr. Walker & The All Stars
Every Time I Close My Eyes|Babyface
Dominoes|Robbie Nevil
Friends|Jody Watley With Eric B. & Rakim
It Takes Time|The Marshall Tucker Band
I Saw Red|Warrant
Little Green Apples|O.C. Smith
Chevy Van|Sammy Johns
Find Your Way Back|Jefferson Starship
A Little Bitty Tear|Wanda Jackson
Some Things Are Better Left Unsaid|Daryl Hall John Oates
Everytime You Cry|The Outfield
Free Me|Johnny Preston
You Can Never Stop Me Loving You|Johnny Tillotson
It's Impossible|Perry Como
I Got What I Wanted|Brook Benton
Eat It|Weird Al Yankovic
The Flame|Cheap Trick
Come See Me|112
Everlasting Love|Howard Jones
Get On Up|Jodeci
Midnight Flower|Four Tops
...Baby One More Time|Britney Spears
Three O'Clock In The Morning|Bert Kaempfert And His Orchestra
Point Of Know Return|Kansas
Come Back When You Grow Up|Bobby Vee And The Strangers
Hypnotize Me (From Innerspace)|Wang Chung
Mr. Wendal|Arrested Development
Raindrops|Dee Clark
Must Of Got Lost|The J. Geils Band
Dance Hall Days|Wang Chung
You And Me|Alice Cooper
Won't You Come Home Bill Bailey|Bobby Darin
Wherever I May Roam|Metallica
Someone Loves You  Joe|The Singing Belles
You've Lost That Lovin' Feeling|Dionne Warwick
Sour Suite|The Guess Who
9 To 5|Dolly Parton
Sweet Dreams|La Bouche
Fly Me To The Moon - Bossa Nova|Joe Harnell And His Orchestra
Le Freak|Chic
Doctorin' The Tardis|The Timelords
The In Crowd|Ramsey Lewis Trio
Windy|The Association
Music To Watch Girls By|Andy Williams
Right Or Wrong|Wanda Jackson
