On The Road Again|Canned Heat
Over And Over|Timmy T.
I Don't Wanna Lose You|Johnnie Taylor
Some Guys Have All The Luck|The Persuaders
Johnny B. Goode|Dion Di Muci
I Can't Stop Loving You|Count Basie
Mountain Of Love|Billy Stewart
Hey Mambo|Barry Manilow with Kid Creole & The Coconuts
Guilty|Al Green
Forever And A Day|Jackie Wilson
Love Me|Tracie Spencer
Ecstasy|Ben E. King
Advice For The Young At Heart|Tears For Fears
Red Roses For A Blue Lady|Vic Dana
Miss Fine|The New Yorkers
Roxy Roller|Sweeney Todd Featuring Bryan Guy Adams
You're Supposed To Keep Your Love For Me|Jermaine Jackson
Twice As Nice|Clyde McPhatter
Paradise|Sammy Turner
Lady|The Whispers
You Got To Be The One|The Chi-lites
Stay True|Sly Fox
Don't Go Away Mad (Just Go Away)|Motley Crue
Lucretia Mac Evil|Blood  Sweat & Tears
Duke Of Earl|Gene Chandler
Thread The Needle|Clarence Carter
Exodus|Eddie Harris
How Can I Forget/Gonna Give Her All The Love I've Got|Marvin Gaye
Does Anybody Really Fall In Love Anymore?|Kane Roberts
A Million To One|Brian Hyland
Unconditional Love (From Menace II Society)|Hi-Five
Love Is Life|Earth  Wind & Fire
Love Is Just A Four-Letter Word|Joan Baez
It's A Mad  Mad  Mad  Mad World|The Shirelles
Nineteen Days|The Dave Clark Five
Happy Jose (Ching-Ching)|Jack Ross
Sixteen Tons|Tom Jones
Runaway Love|Linda Clifford
Head To Toe|Lisa Lisa And Cult Jam
The Switch-A-Roo|Hank Ballard And The Midnighters
Through The Years|Kenny Rogers
Raining In My Heart|Buddy Holly
Do I Love You|Paul Anka
Sugaree|Jerry Garcia
Pocketful Of Rainbows|Deane Hawley
And Now|Della Reese
(Sittin' On) The Dock Of The Bay|The Reddings
Missing You|Diana Ross
Keep On Running|The Spencer Davis Group
Seven Minutes In Heaven|Poni-Tails
I'm Gonna Love You Too|The Hullaballoos
The Loser|The Skyliners
Honey|Bobby Goldsboro
Christmas Dream|Perry Como
Brother-In-Law (He's A Moocher)|Paul Peek
